source_cell_type,target_cell_type,total_weight,mean_weight,n_edges
Cancer.LumA.SC,Endothelial.Lymphatic.LYVE1,509.0,1.0,509
Cancer.LumA.SC,Endothelial.RGS5,609.0,1.0,609
Cancer.LumA.SC,Luminal.Progenitors,731.0,1.0,731
Cancer.LumA.SC,Macrophage,737.0,1.0,737
Cancer.LumA.SC,Mature.Luminal,715.0,1.0,715
Cancer.LumA.SC,Monocyte,634.0,1.0,634
Cancer.LumA.SC,Myoepithelial,588.0,1.0,588
Cancer.LumA.SC,NK.cells,518.0,1.0,518
Cancer.LumA.SC,NKT.cells,460.0,1.0,460
Cancer.LumA.SC,PVL.Differentiated,651.0,1.0,651
Cancer.LumA.SC,PVL.Immature,633.0,1.0,633
Cancer.LumA.SC,Plasmablasts,726.0,1.0,726
Cancer.LumA.SC,T.cells.CD4,738.0,1.0,738
Cancer.LumA.SC,T.cells.CD8,581.0,1.0,581
Cancer.LumB.SC,B.cells.Memory,703.0,1.0,703
Cancer.LumB.SC,B.cells.Naive,542.0,1.0,542
Cancer.LumB.SC,CAFs.MSC.iCAF.like,1018.0,1.0,1018
Cancer.LumB.SC,CAFs.myCAF.like,1143.0,1.0,1143
Cancer.LumB.SC,Cancer.Basal.SC,1278.0,1.0,1278
Cancer.LumB.SC,Cancer.Cycling,1197.0,1.0,1197
Cancer.LumB.SC,Cancer.Her2.SC,1104.0,1.0,1104
Cancer.LumB.SC,Cancer.LumA.SC,519.0,1.0,519
Cancer.LumB.SC,Cancer.LumB.SC,498.0,1.0,498
Cancer.LumB.SC,Cycling.Myeloid,706.0,1.0,706
Cancer.LumB.SC,Cycling.PVL,511.0,1.0,511
Cancer.LumB.SC,Cycling.T.cells,693.0,1.0,693
Cancer.LumB.SC,DCs,759.0,1.0,759
Cancer.LumB.SC,Endothelial.ACKR1,837.0,1.0,837
Cancer.LumB.SC,Endothelial.CXCL12,665.0,1.0,665
Cancer.LumB.SC,Endothelial.Lymphatic.LYVE1,591.0,1.0,591
Cancer.LumB.SC,Endothelial.RGS5,724.0,1.0,724
Cancer.LumB.SC,Luminal.Progenitors,890.0,1.0,890
Cancer.LumB.SC,Macrophage,942.0,1.0,942
Cancer.LumB.SC,Mature.Luminal,881.0,1.0,881
Cancer.LumB.SC,Monocyte,749.0,1.0,749
