Ligand,Receptor,Expr_Prod,Affinity_Pred,Affinity_Score,Rank_Baseline,Rank_Affinity,Rank_Change
LRP5,WNT2B,0.00022088389,0.4017295,8.873557e-05,600.0,613.0,-13.0
NOTCH2,DLL3,0.0008455713,0.37416694,0.0003163848,385.0,398.0,-13.0
SLC29A1,ADORA2A,0.0030923754,0.39398783,0.0012183583,226.0,239.0,-13.0
L1CAM,ITGAV,0.0003244233,0.38537443,0.00012502445,539.0,552.0,-13.0
ITGAV,FCER2,4.141573e-05,0.38747597,1.60476e-05,872.0,885.0,-13.0
FPR2,ALOX5,1.3805243e-05,0.4053392,5.595806e-06,1078.0,1091.0,-13.0
ALOX5AP,CYSLTR2,5.522098e-05,0.4025408,2.2228696e-05,799.0,812.0,-13.0
WNT5A,FZD4,3.4513107e-06,0.3931531,1.3568936e-06,1247.0,1260.0,-13.0
ADGRE5,LPAR1,1.0353932e-05,0.39927226,4.134038e-06,1130.0,1143.0,-13.0
IGF1,ITGAV,0.00016221165,0.392288,6.3633684e-05,647.5,661.0,-13.5
